url,Speaker_0,Speaker_2,Speaker_3,Speaker_1
https://www.youtube.com/watch?v=ioDpjYANuE0,64.44,27.68,7.88,0.0
https://www.youtube.com/watch?v=j4K_hn9LJ5M,57.62,0.48,9.78,32.12
